,0
1710,8345
1711,10016
1712,11437
1713,8526
1714,10666
1715,11949
1716,9993
1717,11280
1718,11780
1719,10472
1720,11177
1721,6157
1722,11950
1723,10958
1724,10368
1725,10823
1726,9460
1727,11714
1728,11183
1729,10579
1730,10282
1731,11768
1732,9743
1733,11358
1734,8986
1735,11689
1736,7937
1737,11137
1738,10213
1739,9738
1740,9988
1741,11146
1742,11492
1743,10428
1744,6521
1745,8866
1746,11864
1747,8719
1748,11364
1749,11695
1750,7781
1751,6437
1752,11113
1753,10639
1754,11740
1755,11831
1756,9666
1757,9091
1758,9435
1759,10630
1760,10991
1761,11650
1762,11401
1763,7810
1764,11941
1765,6039
1766,10216
1767,10753
1768,8767
1769,8151
1770,7810
1771,8359
1772,7322
1773,11224
1774,7647
1775,8108
1776,6039
1777,9996
1778,11665
1779,5071
1780,11266
1781,8659
1782,8983
1783,11287
1784,7380
1785,10621
1786,10533
1787,11047
1788,9675
1789,10893
1790,8193
1791,10915
1792,10332
1793,8563
1794,9958
1795,10208
1796,10843
1797,11585
1798,11370
1799,10050
1800,8140
1801,11459
1802,9464
1803,10343
1804,9395
1805,9677
1806,10632
1807,10325
1808,10880
1809,6592
1810,9620
1811,10210
1812,10408
1813,11742
1814,11178
1815,11594
1816,7638
1817,7481
1818,6650
1819,10940
1820,9646
1821,10600
1822,11842
1823,11653
1824,11002
1825,11116
1826,10956
1827,11470
1828,6213
1829,7026
1830,10476
1831,10961
1832,5210
1833,9328
1834,11493
1835,9526
1836,11702
1837,10442
1838,9734
1839,10570
1840,11285
1841,10831
1842,9741
1843,11660
1844,10397
1845,8977
1846,9625
1847,11316
1848,11841
1849,7851
1850,8303
1851,11141
1852,11451
1853,11976
1854,8748
1855,10632
1856,11352
1857,11385
1858,8836
1859,10774
1860,11255
1861,10468
1862,10240
1863,7810
1864,11711
1865,6081
1866,11030
1867,11469
1868,11198
1869,11497
1870,9265
1871,8403
1872,4626
1873,11530
1874,9889
1875,11153
1876,11362
1877,10505
1878,9048
1879,11206
1880,10024
1881,11137
1882,6039
1883,11030
1884,9803
1885,11423
1886,10959
1887,11692
1888,11522
1889,6226
1890,5936
1891,9289
1892,8310
1893,8861
1894,9635
1895,10713
1896,9862
1897,11229
1898,6851
1899,10279
1900,11296
1901,11253
1902,10868
1903,10796
1904,9890
1905,11863
1906,7467
1907,8218
1908,10230
1909,7810
1910,11544
1911,11599
1912,10622
1913,11309
1914,8107
1915,9727
1916,5210
1917,8291
1918,10334
1919,6659
1920,8964
1921,11228
1922,11344
1923,9045
1924,11624
1925,7638
1926,8890
1927,7886
1928,11314
1929,10184
1930,9864
1931,8895
1932,11321
1933,9721
1934,10422
1935,10098
1936,10593
1937,8624
1938,10907
1939,10183
1940,6746
1941,9212
1942,11306
1943,5210
1944,11671
1945,11620
1946,8502
1947,9098
1948,7444
1949,11143
1950,9069
1951,9481
1952,6713
1953,6864
1954,8900
1955,9787
1956,9343
1957,10804
1958,10841
1959,11306
1960,9959
1961,11376
1962,11260
1963,10121
1964,8741
1965,10733
1966,10407
1967,9529
1968,10997
1969,9711
1970,9705
1971,8652
1972,8217
1973,11448
1974,9652
1975,11164
1976,11498
1977,10981
1978,10955
1979,9725
1980,8570
1981,8861
1982,11147
1983,11465
1984,9712
1985,11767
1986,10931
1987,8666
1988,10063
1989,9815
1990,7403
1991,11617
1992,9236
1993,9663
1994,8148
1995,10545
1996,11383
1997,10544
1998,11396
1999,8261
2000,11429
2001,10146
2002,10129
2003,11733
2004,9809
2005,10506
2006,6138
2007,9594
2008,11087
2009,7961
2010,11847
2011,11857
2012,10854
2013,10958
2014,11373
2015,10735
2016,9549
2017,6829
2018,11117
2019,11881
2020,11634
2021,11237
2022,11365
2023,11833
2024,10488
2025,11407
2026,10133
2027,9697
2028,9722
2029,10922
2030,6847
2031,11209
2032,9639
2033,10175
2034,9475
2035,8248
2036,7001
2037,11491
2038,9885
2039,11491
2040,10873
2041,11247
2042,9126
2043,10087
2044,9065
2045,10297
2046,10428
2047,10637
2048,9950
2049,8780
2050,9480
2051,10874
2052,11298
2053,9839
2054,11401
2055,9282
2056,11458
2057,7261
2058,9129
2059,10582
2060,6097
2061,9950
2062,10039
2063,11679
2064,9407
2065,10076
2066,9959
2067,6583
2068,11167
2069,10874
2070,7736
2071,9761
2072,9680
2073,8941
2074,11715
2075,11625
2076,7319
2077,11378
2078,9363
2079,7985
2080,10943
2081,7992
2082,9729
2083,8943
2084,11208
2085,10657
2086,7766
2087,11304
2088,11467
2089,11229
2090,11657
2091,10994
2092,9865
2093,8977
2094,9264
2095,10624
2096,11423
2097,10996
2098,10616
2099,10007
2100,9369
2101,11715
2102,8013
2103,11227
2104,9739
2105,10555
2106,11389
2107,11237
2108,11841
2109,8224
2110,9742
2111,10283
2112,10936
2113,11225
2114,9566
2115,8888
2116,4910
2117,9274
2118,9184
2119,11521
2120,11739
2121,11093
2122,11868
2123,11644
2124,10657
2125,11400
2126,11823
2127,10089
2128,10137
2129,10502
2130,10504
2131,10619
2132,8609
2133,10090
2134,9145
2135,9922
2136,7810
2137,11599
2138,11470
2139,11624
2140,7628
2141,8107
2142,10744
2143,6343
2144,9872
2145,11489
2146,11108
2147,6821
2148,9767
2149,10042
2150,11135
2151,9854
2152,11762
2153,7902
2154,10502
2155,11363
2156,10653
2157,11745
2158,10616
2159,10849
2160,11259
2161,11340
2162,11453
2163,10171
2164,10244
2165,8972
2166,10157
2167,10644
2168,10440
2169,11630
2170,7380
2171,9923
2172,8008
2173,9819
2174,7910
2175,8615
2176,11156
2177,9444
2178,11591
2179,11134
2180,10352
2181,11748
2182,10308
2183,11154
2184,10258
2185,11389
2186,11476
2187,11469
2188,10932
2189,8444
2190,11287
2191,11460
2192,9755
2193,11465
2194,8067
2195,10908
2196,10657
2197,11390
2198,10897
2199,9013
2200,9202
2201,9974
2202,8581
2203,9468
2204,8320
2205,8473
2206,10224
2207,8145
2208,7121
2209,8205
2210,10113
2211,7891
2212,7203
2213,9816
2214,7810
2215,11349
2216,10171
2217,10970
2218,10644
2219,10922
2220,7880
2221,11448
2222,11580
2223,11541
2224,9336
2225,10811
2226,11477
2227,8264
2228,9916
2229,6748
2230,9887
2231,9921
2232,8037
2233,8657
2234,11523
2235,9821
2236,11434
2237,8544
2238,11025
2239,10235
2240,10958
2241,5275
2242,10501
2243,10591
2244,10414
2245,8294
2246,11700
2247,8522
2248,11676
2249,9837
2250,10468
2251,5885
2252,11040
2253,9671
2254,11071
2255,8506
2256,10244
2257,10942
2258,9230
2259,11834
2260,8008
2261,9839
2262,7082
2263,10675
2264,6061
2265,9802
2266,10642
2267,9733
2268,10981
2269,8872
2270,10799
2271,10249
2272,8296
2273,10351
2274,11342
2275,11011
2276,11695
2277,9904
2278,11349
2279,11973
2280,10111
2281,11886
2282,8147
2283,10190
2284,8168
2285,8774
2286,11237
2287,11114
2288,11875
2289,9072
2290,8739
2291,11675
2292,10520
2293,10738
2294,11088
2295,11854
2296,11491
2297,11421
2298,10789
2299,9284
2300,9417
2301,9187
2302,11715
2303,10245
2304,11517
2305,10028
2306,11489
2307,11711
2308,11601
2309,11430
2310,10885
2311,8525
2312,8153
2313,11404
2314,9155
2315,7810
2316,11085
2317,7598
2318,7564
2319,10356
2320,9860
2321,10622
2322,7393
2323,9080
2324,11076
2325,7903
2326,10625
2327,10192
2328,10959
2329,10143
2330,10688
2331,10465
2332,9669
2333,8994
2334,10140
2335,10722
2336,10499
2337,6355
2338,11412
2339,9128
2340,11654
2341,10894
2342,10996
2343,10660
2344,8220
